,Title,Source,Owner,Status,Category,Proposed URL
1,Deep Sea Characteristics,http://en.wikipedia.org/wiki/Deep_sea,Sundus,Needs editing,The Deep Sea,The Deep Sea
2,Facts abut the Deep Sea,http://www.motherearthnews.com/nature-and-environment/fun-surprising-facts-about-the-oceans.aspx,Sundus,Done,The Deep Sea,Amazing Facts
3,Deep Sea exploration and Discoveries,http://en.wikipedia.org/wiki/Deep-sea_exploration,Sundus,Needs to be written,The Deep Sea,Research & Exploration
4,Kinds of Creatures Found,http://en.wikipedia.org/wiki/Deep_sea_creature,Sundus,Done,Life in Deep Sea,What lives here
5,General Characteristics of Living Organisms,http://en.wikipedia.org/wiki/Deep_sea_fish,Sundus,Needs editing,Life in Deep Sea,What lives here
6,Diets of Deep Sea Creatures,http://deepseanews.com/2012/12/the-unusual-diet-of-deep-sea-fish/,Sundus,Done,Life in Deep Sea,Some Creatures
7,Fangtooth Fish,http://en.wikipedia.org/wiki/Fangtooth,Sundus,Needs editing,Some Creatures,Some Creatures
8,Angler Fish,http://en.wikipedia.org/wiki/Anglerfish,Sundus,Needs to be written,Some Creatures,Some Creatures
9,Viperfish,http://en.wikipedia.org/wiki/Viperfish,Sundus,Done,Some Creatures,Some Creatures
10,Giant Ispopod,http://en.wikipedia.org/wiki/Giant_isopod,Sundus,Done,Some Creatures,Some Creatures
11,Atlantic Wolffish,http://en.wikipedia.org/wiki/Atlantic_wolffish,Sundus,Needs editing,Some Creatures,Some Creatures
12,Vampire Squid,http://en.wikipedia.org/wiki/Vampire_squid,Sundus,Done,Some Creatures,Some Creatures
13,Giant Tube Worms,http://en.wikipedia.org/wiki/Giant_tube_worm,Sundus,Done,Some Creatures,Some Creatures
14,Giant Spider Crab,http://en.wikipedia.org/wiki/Japanese_spider_crab,Sundus,Done,Some Creatures,Some Creatures
15,Fun Facts,http://www.goddidcreations.com/oceananimalfacts.php,Sundus,Needs to be written,Facts,Amazing Facts
16,Environmental Factors,http://en.wikipedia.org/wiki/Deep_sea_communities,Sundus,Needs to be written,What you should know,Environmental Factors
